element,MT,n_points,E_min_MeV,E_max_MeV,xs_min_barn,xs_max_barn,xs_mean_barn,xs_median_barn,log10_xs_mean,log10_xs_median,auc_log10xs_over_log10E,slope_low,slope_mid,slope_high,xs_at_1em05_MeV,xs_at_0p001_MeV,xs_at_0p1_MeV,xs_at_1_MeV,xs_at_10_MeV,xs_at_1000_MeV,xs_at_100000_MeV,xs_at_1e+07_MeV
In,900,49943,1e-05,200000000.0,0.006536256,11744.7,35.212005810208474,3.082241,0.15381368987742983,0.48886659313586,24.561466667749194,-0.4987865648108951,-1.1971945923868708,1.0194926823419013,3945.6500000000015,395.0939000000001,45.38541000000001,123.79859999999994,2.364344,4.944692,71.6382,1497.8500000000001
In,901,49943,1e-05,200000000.0,0.007821208,17032.23,75.02185030243848,3.272404,0.21859788247964457,0.5148669148463828,27.871406007229506,-0.4987866424133535,-1.1937585307375453,1.0701629597375228,4688.3409999999985,469.4625999999999,53.92785000000001,147.08530000000005,2.809975,5.025127,268.67259999999993,6451.045999999999
Ir,900,18498,1e-05,200000000.0,0.007758581,2177.848,14.676789738622011,0.70703275,-0.06998531763846685,-0.15056046908288234,16.098323171155904,-0.5004132081996474,-0.481299225439496,0.6619129441302527,455.15119999999985,45.49346999999999,4.515011,5.894551,2.229405,0.3248336,34.43578999999999,618.4065
Ir,901,18498,1e-05,200000000.0,0.007758581,4349.419,24.268707381069845,0.70703275,-0.0646092338638432,-0.15056046908288234,17.143544406321688,-0.5004132081996474,-0.481299225439496,0.7239390063047713,455.15119999999985,45.49346999999999,4.515011,5.894551,2.229405,0.3248336,56.227579999999996,1225.3010000000004
Kr,900,102172,1e-05,200000000.0,0.003366818,1757.586,75.51891652753861,15.210075,1.235275953047538,1.1821313550321786,15.911732122485546,-0.5001431696855297,-0.36973229298881016,0.8331490781524963,444.6869999999998,44.46130000000001,4.37021,1.194583,0.18218320000000002,0.5817558,61.04791999999998,641.2926999999999
Kr,901,102172,1e-05,200000000.0,0.003589147,4073.733,157.59607197713967,21.23225,1.4101486939779355,1.3269960177929492,17.6500048003878,-0.5001438624562774,-0.37376339788737933,0.9656153808747872,484.80619999999993,48.47249999999999,4.764082000000001,1.30121,0.19654320000000003,0.582269,127.25119999999995,1478.497
La,900,39080,1e-05,200000000.0,0.0001058533,3408.001,21.354287796197358,3.910526,0.08464347710798548,0.5922351777357079,7.24660712145706,-0.5000292672120678,-0.30965282536659505,1.8032375096988909,52.78365,5.278188,0.5259871,0.16396259999999996,0.03643281999999999,0.0016054759999999996,34.97375999999999,1245.1239999999996
La,901,39080,1e-05,200000000.0,0.000109394,7201.641,36.99709942750488,4.873379,0.15788650796531015,0.6878301875116023,8.53346672270414,-0.5000285936276923,-0.30896344764285766,1.8909958816580696,52.81587,5.281414,0.5263228,0.1640944,0.036449869999999995,0.0016603949999999994,66.08684000000001,2619.663000000001
Li,900,1032,1e-05,200000000.0,2.0,162960.2,9903.386352858528,136.46065,2.6036351680243133,2.1350042355657717,34.25988350083826,-0.500000591767402,-0.49989830013424985,0.13405539660531476,162960.19999999992,16296.009999999991,1629.3840000000005,515.2294,162.89130000000006,18.291359999999997,35.704950000000004,113.51010000000002
Li,901,1032,1e-05,200000000.0,2.0,456908.4,27772.634021812013,394.8856,3.056347994475731,2.5964711692506484,40.22175081635191,-0.5000005874856182,-0.5000451097121225,0.14170682313150426,456908.39999999956,45690.81999999997,4568.474000000002,1444.602,456.7150999999998,49.217119999999994,101.83549999999998,330.11449999999996
Lu,900,79623,1e-05,200000000.0,0.01242729,2716.936,5.552240532294059,0.2915469,-0.4345509330028866,-0.5352915720445197,12.447125033618965,-0.4918534530109551,-0.3999016274856351,0.529137924784208,79.41002,8.013026,4.27963,0.15920600000000001,0.2772968,0.019528660000000003,42.29783,662.3202
Lu,901,79623,1e-05,200000000.0,0.01286853,5424.819,9.29743761658905,0.294374,-0.42712594682690946,-0.5311005508398763,13.609042161128142,-0.491262482819911,-0.3953773957126497,0.5526058552317624,79.52063,8.029798,4.295326,0.1695632,0.291788,0.020165710000000003,71.88252,1312.885
Mg,900,6010,1e-05,200000000.0,0.006229966,2768.849,766.0220067498088,690.63275,2.535369549094563,2.839247167601907,9.445030433137804,-0.5000005389177669,-0.4770892156575652,0.47686027551289695,20.769689999999997,2.076968,0.2109798,0.07618682,0.02409367,3.940032,338.34820000000013,1244.011
Mg,901,6010,1e-05,200000000.0,0.01133811,6172.442,1700.7842515278037,1537.0735,2.868888729454986,3.1866946241168246,12.837938650675255,-0.5000005465518417,-0.46442707456253673,0.4958988624535233,34.814930000000004,3.4814919999999994,0.3567936,0.13864699999999996,0.04384650999999999,4.757966000000001,741.3392,2791.4119999999984
Mn,900,20209,1e-05,200000000.0,0.01877991,1511.587,73.65933793175714,40.5924,1.5446093265205518,1.6084447294632105,18.423177263227842,-0.4999968267146135,-0.47028339801868263,0.4388853586181951,459.78789999999987,45.97895,4.59986,1.460068,0.4869097,20.086499999999997,40.57685000000001,885.5553999999996
Mn,901,20209,1e-05,200000000.0,0.03089242,4615.33,188.12485931813796,101.4919,1.9209308345931482,2.0064313828829685,21.74670823066345,-0.49999679456286505,-0.47012235605482816,0.5902970965081985,673.8081000000001,67.38105000000002,6.741006999999999,2.139764,0.7137867,20.19505,111.68670000000003,2694.3080000000004
Mo,900,138390,1e-05,200000000.0,0.0006654579,1206.545,12.109621427921631,7.161531,0.4288187111642469,0.8550058761870011,5.881307033780947,-0.5000213720253455,-0.18641713820789552,1.3250173352544927,24.166079999999997,2.41656,0.24106449999999996,0.0746921,0.024788920000000002,0.0019429740000000005,46.97974,602.6657999999999
Mo,901,138390,1e-05,200000000.0,0.0006690896,2605.465,18.7192013609224,8.3915535,0.495689640459583,0.9238423677269141,7.1415035100938535,-0.5000213664965071,-0.18664155353306688,1.417014490933969,24.31097,2.431048,0.24250950000000002,0.07513917,0.024922610000000008,0.001953296,86.71468000000002,1294.5499999999997
Na,900,8100,1e-05,200000000.0,0.03985011,1473.681,510.0187572360247,554.12805,2.485354148658293,2.743610127164638,15.232254062385572,-0.499999961929358,-0.4967582445707071,0.5098680768231907,134.54760000000002,13.454770000000002,1.34555,0.4258314,0.1354615,4.543908,142.52369999999996,921.8276999999997
Na,901,8100,1e-05,200000000.0,0.08329088,4546.547,1563.811508428937,1687.8345,2.953145277833707,3.227329850637646,19.913176594033153,-0.49999996027403043,-0.4967582522406504,0.554329908881028,281.2185,28.121859999999995,2.812339,0.8900319,0.2831286,6.217302,428.1943000000001,2863.6740000000004
Nb,900,41104,1e-05,200000000.0,0.003195557,1292.304,9.713267724331889,3.1666755,0.18412863947969743,0.5006035620204754,1.598048679960856,-0.49959226637466764,-0.05795069110428615,1.3404713408515896,6.557113,0.6560085,0.06626996,0.020754970000000005,0.005993667000000003,0.040030569999999994,55.057950000000005,501.6895999999999
Nb,901,41104,1e-05,200000000.0,0.00392935,2048.773,12.231835526337557,3.178773,0.19873374362090757,0.5022595151278675,2.5489260310075057,-0.4993483989401054,-0.03811457279815283,1.3390636713363846,6.561931,0.6566677,0.06677112,0.020913180000000003,0.006043507000000003,0.041543449999999996,79.85152000000001,792.1311
Nd,900,193190,1e-05,200000000.0,0.2994618,3672.231,26.01190477089912,12.028015,0.9762398199671626,1.0801939610324636,19.086158491992954,-0.48998843989135865,-0.02854409711398474,0.7628175840538934,404.3813000000002,40.93618,5.240843,1.421519,0.5075624,0.3024184,55.576060000000005,1129.1660000000002
Nd,901,193190,1e-05,200000000.0,0.5434852,8015.394,39.5112142274714,13.327594999999999,1.075051102536667,1.1247517868694201,21.502757616074252,-0.47929543430160243,0.049611705058388855,0.7509993685500972,416.69649999999984,42.76861,6.899022000000001,1.943076,0.9998419,0.641561,108.42309999999998,2453.2010000000005
Ne,900,7601,1e-05,200000000.0,0.0003296573,1042.561,151.08545996500033,79.66958,1.5898349006495354,1.9012925276693553,-2.194805116441695,-0.5000013816809205,-0.4997502643533034,0.6729605112127789,1.448568,0.14485670000000003,0.014485560000000001,0.004581718000000001,0.001449311,2.204284,59.56157,468.1481
Ne,901,7601,1e-05,200000000.0,0.0004383254,2394.61,344.910833808636,179.4103,1.8934383946758349,2.253847372402367,0.3459877720277351,-0.5000013451313073,-0.4995764072858179,0.7443403131717469,1.910085,0.19100829999999996,0.01910076,0.006041677999999998,0.0019117610000000008,2.308852,132.46250000000003,1080.9109999999998
Ni,900,152838,1e-05,200000000.0,0.05180772,861.8347,92.55169910302897,76.40513,1.8289636219604466,1.8831225189922316,16.07137880964146,-0.5000006277316092,-0.5020510806940849,0.4142124153362789,409.6628999999999,40.966390000000004,4.096347,1.294951,0.4075222,6.629616999999999,34.68963999999999,563.6179999999998
